"gender","sport","n","test_type"
"Male","Football",333,"CMJ"
"Male","Football",328,"DJ"
"Male","Football",308,"SLJ"
"Male","Football",225,"SLLAH"
"Male","Football",189,"SJ"
"Male","Football",166,"SLHAR"
"Male","Football",156,"SLDJ"
"Male","Badminton",85,"CMJ"
"Female","Football",82,"CMJ"
"Male","Basketball",73,"CMJ"
"Female","Football",71,"DJ"
"Female","Football",67,"SLJ"
"Female","Football",63,"SLLAH"
"Female","Football",55,"SLDJ"
"Female","Football",55,"SLHAR"
"Male","Cricket",46,"CMJ"
"Female","Badminton",37,"CMJ"
"Female","Badminton",33,"DJ"
"Male","Cricket",31,"DJ"
"Female","Badminton",30,"SLHAR"
"Male","Track and Field",29,"CMJ"
"Male","Swimming",27,"CMJ"
"Male","Swimming",26,"SLJ"
"Male","Badminton",25,"DJ"
"Male","Cricket",25,"SLLAH"
